x,area
0,0.0010120818331846649
1,0.0009859882966741515
2,0.0009020321698013979
3,0.0007795132226493186
4,0.0006432869853525158
5,0.0005168545077239693
6,0.0004170857374975976
7,0.0003520575189905828
8,0.00032190448918929695
9,0.0003214613140364441
10,0.0003432383879518366
11,0.00037974133452724543
12,0.0004248241916613891
13,0.00047423608968906846
14,0.0005256450290212866
15,0.0005783195878110028
16,0.0006325307387338531
17,0.0006887408219667594
18,0.0007467677502267421
19,0.0008052254401187389
20,0.0008615094648735583
21,0.000912383075811321
22,0.0009549286862428503
23,0.0009874455161608658
24,0.0010099192048885464
25,0.0010239310614028085
26,0.001032145376205309
27,0.0010376395217831895
28,0.001043277486919795
29,0.0010511803046547123
30,0.001062274926395826
31,0.001075973130735683
32,0.001090157886694854
33,0.0011016729501127005
34,0.001107333512869138
35,0.0011051839176101086
36,0.0010955278891198628
37,0.0010813130099078761
38,0.0010677498472540787
39,0.001061395160443767
40,0.0010691018305207156
41,0.0010971397325282724
42,0.001150515973546827
43,0.001232282015814178
44,0.0013426026925437368
45,0.0014776336011165234
46,0.0016286735296372821
47,0.0017823429217635042
48,0.0019224043161474647
49,0.002033212214284897
50,0.002103918699247257
51,0.0021319610108996327
52,0.0021244313652129952
53,0.002096705318632626
54,0.002068783359026624
55,0.002060623741313833
56,0.00208796085431304
57,0.0021597386488776044
58,0.00227763407648433
59,0.0024375097024813028
60,0.0026321811870976494
61,0.00285464044484784
62,0.0031008233480320315
63,0.0033711529417925776
64,0.0036704233448517786
65,0.004006060275384841
66,0.00438527491315748
67,0.004811958871340365
68,0.0052842272434329715
69,0.005793281947871226
70,0.006323835591833077
71,0.00685588347732348
72,0.007367314811235913
73,0.007836805622388138
74,0.008246591858062738
75,0.00858491583821964
76,0.008847976897726722
77,0.009041019859501875
78,0.009177917126755083
79,0.009278584753614757
80,0.009364112426248121
81,0.009450531367270955
82,0.00954321333646017
83,0.009634347104268297
84,0.009705444569665296
85,0.00973567143064457
86,0.009715722432950916
87,0.009666578162333649
88,0.009662559005803812
89,0.009857248987472663
90,0.01050713424707676
91,0.01198036547202765
92,0.014729605901835573
93,0.01920591056931645
94,0.025704603300044756
95,0.034168363432330706
96,0.044016956305523984
97,0.054100647263634304
98,0.06285508344599788
99,0.06865945540559182
100,0.07029562978613475
