,edad-actual,edad-morir,hijes-tenes,gestacion-aborto,gestacion-persona,genero-coincide,morir-cuerpo,morir-redes,miedo-propia,miedo-resto,muerte-experiencia,muerte-eutanasia,firstTime,hijes-gustaria,hijes-volveria
396,50,82,1,10,39,100,0,0,17,70,60,100,True,,75.0
397,23,90,0,10,21,98,16,15,92,100,16,100,True,86.0,
398,20,99,0,12,12,89,100,100,89,100,100,100,True,69.0,
399,30,45,0,15,42,84,0,0,0,75,100,100,True,0.0,
400,23,86,0,21,42,100,0,0,58,100,4,100,True,68.0,
401,57,79,1,30,35,100,0,0,2,100,0,100,True,,85.0
402,26,92,0,42,42,100,0,0,20,93,0,100,True,3.0,
403,28,81,0,14,42,100,100,100,89,100,100,100,True,100.0,
404,38,80,0,12,32,24,80,0,0,16,93,97,True,21.0,
405,28,92,0,21,30,100,12,0,22,100,0,100,True,51.0,
406,27,76,0,27,42,100,0,3,0,100,82,100,True,0.0,
407,31,100,0,15,24,99,21,0,80,66,0,100,True,0.0,
408,37,84,0,12,42,74,0,2,49,100,16,97,True,38.0,
409,38,130,1,30,42,100,0,0,75,100,7,100,True,,100.0
410,23,77,0,14,42,100,0,0,74,100,100,100,True,43.0,
411,29,90,0,42,42,100,71,0,64,100,80,100,True,100.0,
412,29,80,0,20,25,51,0,14,34,63,71,100,True,70.0,
413,47,90,1,0,42,100,0,0,84,86,0,100,True,,100.0
414,22,85,0,16,42,75,57,48,51,58,100,100,True,70.0,
415,61,90,1,14,42,100,0,0,39,63,0,100,True,,100.0
416,43,130,1,25,42,100,100,51,59,100,0,100,True,,100.0
417,58,78,1,4,7,100,9,9,19,0,0,100,True,,100.0
418,26,105,0,21,42,55,59,0,57,63,60,61,True,39.0,
419,29,77,1,12,39,100,0,0,0,100,0,100,True,,0.0
420,38,40,0,13,42,89,0,0,11,19,0,100,True,4.0,
421,41,104,1,10,42,100,68,13,100,100,88,90,True,,100.0
422,34,95,0,21,0,80,60,60,100,100,100,100,True,77.0,
423,29,91,0,8,22,100,0,0,51,72,100,100,True,100.0,
424,21,80,0,14,42,100,100,79,48,48,32,100,True,100.0,
425,35,86,0,42,42,0,0,0,33,73,0,100,True,0.0,
426,28,94,0,12,42,100,0,0,51,72,0,100,True,51.0,
427,41,102,0,15,16,97,0,0,92,94,1,100,True,3.0,
428,26,90,0,20,42,82,21,35,69,100,79,100,True,64.0,
429,50,100,1,12,20,100,0,28,0,100,100,100,True,,72.0
430,37,109,1,14,20,100,13,0,28,87,49,100,True,,100.0
431,29,130,0,12,24,75,100,0,49,100,10,100,True,25.0,
432,43,90,1,14,35,100,0,50,27,74,0,100,True,,0.0
433,26,40,0,42,42,17,0,0,77,100,0,100,True,0.0,
434,31,104,0,42,42,100,64,100,81,100,9,99,True,16.0,
435,37,98,1,14,36,100,19,26,100,100,0,100,True,,100.0
436,34,78,0,14,31,79,100,0,0,72,76,100,True,0.0,
437,26,100,0,18,24,100,1,0,100,100,1,100,True,55.0,
438,19,83,0,42,42,80,100,83,31,61,97,87,True,65.0,
439,26,75,0,21,42,100,100,0,19,32,25,100,True,58.0,
440,19,85,0,8,29,82,26,69,37,74,100,100,True,75.0,
441,35,73,1,9,12,100,48,0,58,59,31,100,True,,98.0
442,41,68,0,22,42,100,0,52,81,93,20,100,True,57.0,
443,27,130,0,16,25,88,57,59,79,100,0,100,True,51.0,
444,27,70,0,24,42,100,0,0,12,100,0,100,True,8.0,
445,31,90,0,15,20,89,3,26,61,67,30,100,True,40.0,
446,24,100,0,6,42,100,20,0,100,100,16,100,True,28.0,
447,28,67,0,18,34,100,0,0,51,100,49,100,True,0.0,
448,41,91,0,12,1,100,63,0,59,61,81,100,True,25.0,
449,23,130,0,42,42,100,100,0,100,100,52,100,True,71.0,
450,24,80,0,16,16,100,0,0,69,33,0,100,True,0.0,
451,32,85,0,15,25,82,16,64,64,91,15,75,True,65.0,
452,25,90,0,12,12,100,100,0,100,92,1,80,True,64.0,
453,48,100,1,8,42,100,52,63,100,100,71,100,True,,100.0
454,28,86,0,21,28,81,9,10,66,36,0,100,True,18.0,
455,32,100,0,14,20,100,100,26,100,100,100,100,True,65.0,
456,22,72,0,15,16,89,37,0,18,58,13,100,True,40.0,
457,24,85,0,21,42,78,50,0,21,51,50,73,True,77.0,
458,31,130,0,0,0,100,26,25,78,77,0,100,True,82.0,
459,36,85,0,12,25,100,26,21,19,80,0,100,True,3.0,
460,40,65,0,42,42,78,0,0,23,25,0,100,True,0.0,
461,25,83,0,28,42,100,76,65,68,100,50,100,True,40.0,
462,25,75,0,16,42,87,0,0,48,75,25,100,True,0.0,
463,28,80,0,42,42,100,0,0,73,100,0,100,True,47.0,
464,30,79,0,12,30,100,0,1,75,100,0,100,True,55.0,
465,20,85,0,12,15,29,0,4,0,100,83,100,True,75.0,
466,32,96,0,34,42,100,78,0,79,79,0,100,True,71.0,
467,42,80,0,0,0,100,7,0,20,47,100,10,True,0.0,
468,47,72,0,18,28,73,0,33,64,89,32,100,True,56.0,
469,39,92,0,42,42,100,100,100,65,98,0,100,True,0.0,
470,17,120,0,12,16,71,9,7,84,73,50,73,True,50.0,
471,30,65,0,24,42,100,0,0,50,74,75,100,True,18.0,
472,27,130,0,35,35,100,0,0,100,48,0,100,True,0.0,
473,51,75,1,12,41,84,0,0,0,58,53,100,True,,69.0
474,35,76,0,18,18,50,100,100,29,38,100,100,True,29.0,
475,24,91,0,21,12,100,73,54,67,100,0,100,True,56.0,
476,25,60,0,30,42,54,100,0,0,100,26,100,True,0.0,
477,26,130,0,24,24,78,0,0,100,100,0,100,True,0.0,
478,37,92,1,42,42,100,16,15,85,100,0,100,True,,100.0
479,31,75,0,12,39,91,26,11,60,75,100,100,True,18.0,
480,32,90,0,12,42,77,33,0,80,100,68,100,True,57.0,
481,22,85,0,24,42,86,69,0,80,100,79,100,True,40.0,
482,26,70,0,12,30,78,21,16,69,99,80,100,True,50.0,
483,38,75,1,8,0,100,10,0,14,85,100,81,True,,67.0
484,25,95,0,27,22,77,0,100,79,90,11,100,True,22.0,
485,29,100,0,14,15,100,0,73,14,100,50,100,True,97.0,
486,36,90,0,0,0,100,100,42,69,69,100,100,True,100.0,
487,41,90,1,0,0,100,0,0,55,91,100,79,True,,100.0
488,25,90,0,20,30,100,30,31,63,98,74,96,True,90.0,
489,42,90,0,16,42,100,0,26,33,73,10,100,True,0.0,
490,31,130,1,18,42,76,0,2,100,68,27,100,True,,100.0
491,26,100,0,21,42,100,0,0,0,0,100,100,True,100.0,
492,28,93,0,30,42,79,0,0,0,67,83,100,True,17.0,
493,28,65,0,16,24,100,41,73,20,100,13,100,True,69.0,
494,30,130,0,16,16,100,94,0,97,39,63,100,True,0.0,
495,42,84,1,26,40,81,0,0,69,100,0,98,True,,30.0
496,26,100,0,12,42,100,26,100,52,61,49,100,True,0.0,
497,66,80,1,12,12,97,0,0,0,0,54,100,True,,100.0
498,34,85,0,15,42,100,17,16,52,82,35,100,True,13.0,
499,21,85,0,23,30,100,0,7,55,100,29,100,True,16.0,
500,28,70,0,21,23,100,0,0,11,54,100,100,True,22.0,
501,25,85,0,10,42,100,100,0,24,100,0,100,True,100.0,
502,22,110,0,22,12,89,100,0,73,82,8,90,True,100.0,
503,28,86,0,30,42,100,74,15,78,100,25,100,True,100.0,
504,30,86,0,20,42,75,0,0,27,26,60,85,True,49.0,
505,61,100,1,14,42,100,50,49,52,84,0,100,True,,100.0
506,29,85,0,15,20,88,0,0,14,50,84,100,True,78.0,
507,70,100,1,12,12,99,0,51,76,78,78,100,True,,100.0
508,23,75,0,16,16,100,0,100,32,60,6,60,True,100.0,
509,26,93,0,14,0,49,63,18,69,70,0,100,True,61.0,
510,43,80,1,35,42,100,100,0,77,100,54,100,True,,100.0
511,28,75,0,12,23,100,21,6,73,100,27,100,True,0.0,
512,33,78,0,12,11,86,41,4,77,100,68,100,True,40.0,
513,39,91,1,12,39,100,0,0,25,72,21,74,True,,0.0
514,20,90,0,14,42,100,35,65,27,100,72,68,True,22.0,
515,32,75,0,16,31,100,1,0,78,80,61,100,True,20.0,
516,23,85,0,14,22,97,29,1,59,100,66,100,True,100.0,
517,27,130,0,34,42,100,76,82,89,100,26,100,True,67.0,
518,35,80,0,18,42,54,67,0,100,100,5,100,True,0.0,
519,23,75,0,42,42,100,0,1,79,100,0,100,True,23.0,
520,42,70,0,4,5,100,92,8,100,99,100,100,True,100.0,
521,38,90,1,6,12,98,1,2,54,43,32,100,True,,99.0
522,31,80,0,12,42,100,0,0,54,82,0,100,True,0.0,
523,31,130,0,12,42,75,0,0,100,100,54,100,True,0.0,
524,58,90,1,16,42,100,100,47,0,53,0,100,True,,100.0
525,31,90,0,12,0,100,0,0,20,20,50,100,True,100.0,
526,31,80,0,20,35,100,0,0,0,100,0,100,True,50.0,
527,18,100,0,7,17,21,18,28,43,39,58,55,True,73.0,
528,27,125,0,0,0,96,52,51,82,71,53,44,True,62.0,
529,30,86,0,16,28,100,21,61,18,78,0,100,True,35.0,
530,21,60,0,16,42,77,26,0,0,79,54,100,True,35.0,
531,24,74,0,8,35,100,79,76,70,76,50,93,True,34.0,
532,31,130,0,42,42,94,76,76,22,74,79,100,True,77.0,
533,29,86,0,12,13,83,100,8,64,77,84,100,True,25.0,
534,38,92,1,0,1,100,100,0,0,0,100,100,True,,100.0
535,31,75,0,21,30,100,100,100,70,70,54,100,True,0.0,
536,29,80,0,12,30,100,44,37,23,74,82,100,True,100.0,
537,38,81,1,14,40,100,1,1,100,100,29,97,True,,25.0
538,30,74,0,26,42,100,0,0,23,0,100,100,True,77.0,
539,35,100,0,14,26,84,100,0,13,76,80,100,True,100.0,
540,30,91,0,11,42,100,33,0,77,100,31,100,True,62.0,
541,22,86,0,30,42,100,17,8,100,100,8,100,True,100.0,
542,30,110,0,12,30,100,0,0,64,92,7,100,True,93.0,
543,32,86,0,7,0,36,1,65,48,70,68,100,True,9.0,
544,25,130,0,14,31,100,18,17,82,81,0,100,True,80.0,
545,33,95,0,30,30,87,51,0,77,100,0,100,True,0.0,
546,21,75,0,15,17,100,0,0,42,100,87,100,True,27.0,
547,24,75,0,15,42,64,0,0,100,100,100,100,True,48.0,
548,38,100,0,16,35,100,40,12,100,100,100,100,True,52.0,
549,27,75,0,14,42,78,0,0,27,100,51,100,True,100.0,
550,38,76,1,42,42,100,32,1,28,55,100,100,True,,79.0
551,29,130,0,32,10,100,0,0,100,100,30,100,True,63.0,
552,26,90,0,24,42,100,0,100,71,99,0,100,True,60.0,
553,27,93,0,42,42,100,100,59,68,100,39,100,True,63.0,
554,26,90,0,14,24,100,34,31,75,100,9,100,True,28.0,
555,46,98,1,8,0,100,0,0,25,73,88,100,True,,100.0
556,28,130,0,21,42,100,0,11,10,76,18,100,True,60.0,
557,32,130,0,16,36,77,24,0,100,100,21,100,True,58.0,
558,25,110,0,20,42,100,16,0,73,100,0,100,True,22.0,
559,24,100,0,16,20,64,71,0,49,100,72,100,True,43.0,
560,20,85,0,42,42,100,0,0,0,0,0,100,True,0.0,
561,29,37,0,30,42,77,0,0,24,25,46,100,True,0.0,
562,20,75,0,14,14,100,61,0,0,75,70,100,True,33.0,
563,34,88,1,36,28,30,76,0,62,87,43,100,True,,92.0
564,28,85,0,14,34,50,88,18,11,100,0,100,True,0.0,
565,21,91,0,10,20,100,75,60,70,81,78,79,True,100.0,
566,23,86,0,25,42,100,100,0,0,75,44,100,True,14.0,
567,26,85,0,21,21,88,0,41,39,62,0,100,True,74.0,
568,32,83,0,32,12,100,17,18,19,58,32,92,True,66.0,
569,35,88,1,8,12,76,81,38,9,34,100,100,True,,100.0
570,27,82,0,16,42,100,31,45,31,64,27,100,True,100.0,
571,38,96,0,42,42,83,0,0,26,75,0,100,True,0.0,
572,18,80,0,8,38,100,0,0,17,49,21,100,True,50.0,
573,30,100,0,10,23,85,30,44,79,96,68,67,True,98.0,
574,32,75,0,20,20,100,0,0,21,84,13,100,True,50.0,
575,21,60,0,18,42,100,100,0,0,100,71,100,True,28.0,
576,21,100,0,14,40,89,0,0,54,91,0,100,True,0.0,
577,28,130,0,42,24,100,0,0,100,100,0,100,True,59.0,
578,39,90,0,16,42,100,24,74,12,27,0,100,True,34.0,
579,24,90,0,30,42,100,0,0,100,80,23,100,True,0.0,
580,27,76,0,9,0,80,100,0,20,100,13,100,True,25.0,
581,35,80,0,27,42,100,0,30,0,100,0,100,True,0.0,
582,35,92,0,10,18,42,61,0,58,31,64,100,True,59.0,
583,55,130,1,42,12,100,67,22,46,53,60,100,True,,100.0
584,21,130,0,10,40,100,0,89,50,100,8,100,True,23.0,
585,32,65,0,4,25,100,0,0,0,25,75,87,True,21.0,
586,23,102,0,8,16,100,64,55,70,83,100,100,True,63.0,
587,23,112,0,42,0,100,0,0,12,7,100,100,True,59.0,
588,34,85,0,42,42,78,25,68,71,100,67,100,True,100.0,
589,23,100,0,42,42,100,5,100,71,85,91,100,True,73.0,
590,33,130,0,25,41,98,0,0,85,81,0,98,True,35.0,
591,30,85,1,8,0,100,0,0,41,100,100,100,True,,1.0
592,36,75,0,6,0,71,53,100,51,96,62,100,True,100.0,
593,29,75,0,8,21,100,14,0,61,75,5,100,True,42.0,
594,34,130,0,12,12,100,0,0,74,74,0,100,True,100.0,
595,29,90,0,18,22,94,70,61,81,80,81,100,True,50.0,
596,30,102,0,14,0,100,73,26,27,100,10,100,True,52.0,
597,25,80,0,35,35,88,19,73,19,100,79,100,True,79.0,
598,28,80,0,14,20,100,51,52,45,99,100,100,True,38.0,
599,34,94,0,17,42,100,0,0,27,69,29,100,True,28.0,
600,37,78,0,14,42,73,51,73,100,100,41,100,True,0.0,
601,24,90,0,38,42,100,18,67,67,100,0,100,True,70.0,
602,22,130,0,42,42,52,100,100,100,100,46,100,True,100.0,
603,33,61,0,20,42,100,100,34,100,100,49,100,True,0.0,
604,56,85,1,17,17,100,34,13,56,100,42,100,True,,100.0
605,17,130,0,30,3,100,62,53,51,100,80,82,True,51.0,
606,31,130,0,8,20,100,72,12,84,57,27,100,True,100.0,
607,25,95,0,16,8,100,0,73,12,51,0,100,True,0.0,
608,45,64,1,12,6,87,3,1,51,56,53,56,True,,99.0
609,41,78,1,12,42,100,0,0,9,15,100,100,True,,100.0
610,20,21,0,15,42,50,100,1,4,28,100,99,True,100.0,
611,29,82,0,20,28,66,31,0,61,100,49,100,True,5.0,
612,32,60,0,12,23,66,0,0,0,77,0,100,True,8.0,
613,28,101,0,42,42,96,100,12,25,27,21,100,True,100.0,
614,34,87,0,29,42,100,0,0,0,88,100,100,True,78.0,
615,35,54,0,14,42,87,23,0,0,68,20,100,True,65.0,
616,29,90,0,14,42,28,42,44,24,65,0,100,True,0.0,
617,27,110,0,22,42,100,100,0,23,27,26,100,True,21.0,
618,27,80,0,12,16,100,7,0,79,100,13,100,True,70.0,
619,25,90,0,20,42,100,0,73,79,99,25,100,True,76.0,
620,38,50,0,0,1,100,77,76,28,98,100,100,True,52.0,
621,23,75,0,12,12,100,76,100,0,15,100,100,True,0.0,
622,33,80,0,20,42,100,100,0,0,71,51,100,True,0.0,
623,21,130,0,18,24,100,100,52,75,74,23,100,True,100.0,
624,34,70,0,16,42,100,0,71,17,100,35,100,True,38.0,
625,23,90,0,36,42,91,0,0,22,75,100,100,True,59.0,
626,37,91,1,42,0,100,46,0,0,100,29,100,True,,100.0
627,32,65,0,10,42,87,0,0,70,100,0,100,True,8.0,
628,20,80,0,20,20,0,76,50,58,0,100,100,True,73.0,
629,26,91,0,25,24,88,35,31,61,100,3,100,True,26.0,
630,26,95,0,42,42,76,32,0,22,82,72,100,True,100.0,
631,27,98,0,14,12,79,100,0,71,87,83,100,True,71.0,
632,23,95,0,42,42,100,66,31,100,100,17,100,True,0.0,
633,23,85,0,20,30,87,10,0,14,100,50,100,True,0.0,
634,35,85,1,6,30,100,100,0,11,72,100,100,True,,83.0
635,35,130,0,0,0,86,71,72,100,100,50,62,True,10.0,
636,51,84,1,8,12,100,0,0,12,19,100,0,True,,99.0
637,42,130,1,20,24,100,0,0,100,100,0,100,True,,100.0
638,26,130,0,42,42,74,75,0,92,39,71,72,True,73.0,
639,31,85,0,13,14,100,0,0,0,97,26,100,True,98.0,
640,28,75,0,14,20,100,0,100,100,79,40,100,True,82.0,
641,26,80,0,15,42,100,12,0,35,65,0,100,True,63.0,
642,20,104,0,42,0,67,100,0,83,100,0,100,True,100.0,
643,21,102,0,30,42,100,100,100,0,100,51,100,True,0.0,
644,30,85,0,14,42,74,80,0,86,82,21,100,True,71.0,
645,26,85,0,14,42,100,13,0,50,67,0,100,True,13.0,
646,30,130,0,12,12,100,100,100,33,33,77,77,True,100.0,
647,45,99,1,12,42,100,0,0,0,0,0,100,True,,100.0
648,33,100,0,14,14,100,0,60,16,90,9,100,True,55.0,
649,41,75,1,6,24,100,0,0,17,73,7,81,True,,84.0
650,35,85,1,14,0,100,77,22,100,50,23,100,True,,100.0
651,25,130,0,12,40,100,100,15,95,93,57,100,True,100.0,
652,21,100,0,16,16,100,100,100,73,73,100,100,True,51.0,
653,34,85,1,12,16,100,80,45,57,100,62,100,True,,99.0
654,35,130,0,34,23,92,0,0,100,76,59,95,True,82.0,
655,21,96,0,14,35,51,32,54,100,53,51,100,True,31.0,
656,17,86,0,28,42,100,16,8,13,73,2,100,True,82.0,
657,44,95,1,12,38,89,31,0,53,52,48,100,True,,100.0
658,33,65,0,11,19,100,0,0,14,38,21,100,True,100.0,
659,39,77,0,18,42,100,67,68,70,49,71,100,True,0.0,
660,45,90,0,42,42,100,0,0,0,87,0,100,True,67.0,
661,40,85,0,12,42,100,51,0,26,49,0,100,True,0.0,
662,31,130,0,20,26,96,87,87,37,77,88,100,True,49.0,
663,38,91,0,15,15,100,49,75,84,100,82,98,True,0.0,
664,37,80,1,17,42,65,68,5,65,100,51,100,True,,88.0
665,21,75,0,14,22,33,79,62,74,90,97,82,True,25.0,
666,27,93,0,14,20,100,59,27,86,100,0,100,True,0.0,
667,28,95,0,15,42,100,0,0,31,72,89,100,True,100.0,
668,35,80,0,14,42,91,22,0,75,92,2,100,True,51.0,
669,41,85,1,10,11,100,22,0,24,41,100,100,True,,81.0
670,17,97,0,14,42,100,33,0,84,100,12,100,True,73.0,
671,30,130,0,0,0,100,0,0,51,50,53,100,True,100.0,
672,19,88,0,42,42,84,61,0,64,79,56,81,True,100.0,
673,24,80,0,16,20,100,0,0,0,100,100,100,True,0.0,
674,34,98,0,10,13,100,18,22,77,100,80,100,True,100.0,
675,38,80,0,10,24,100,0,0,49,79,8,100,True,25.0,
676,24,85,0,12,13,64,100,0,64,72,84,100,True,63.0,
677,22,130,0,12,42,100,100,0,100,100,0,100,True,26.0,
678,36,88,0,12,41,100,15,48,39,67,0,100,True,100.0,
679,24,90,0,12,21,100,65,0,0,88,9,94,True,12.0,
680,31,95,0,14,42,71,0,2,76,87,18,100,True,2.0,
681,22,72,0,24,32,24,0,6,34,72,0,82,True,21.0,
682,29,95,0,20,30,89,80,16,79,80,73,100,True,100.0,
683,29,59,0,12,23,51,29,29,48,73,48,73,True,0.0,
684,24,50,0,5,42,93,0,0,35,100,100,100,True,0.0,
685,46,85,1,12,42,100,11,6,34,78,68,98,True,,100.0
686,24,94,0,14,29,100,61,60,100,82,10,100,True,56.0,
687,22,130,0,8,16,80,0,22,8,0,0,100,True,74.0,
688,26,91,1,18,42,21,100,100,100,100,0,100,True,,0.0
689,30,85,0,6,11,91,76,1,44,87,85,83,True,64.0,
690,26,90,0,10,0,100,100,0,0,0,49,100,True,100.0,
691,36,90,1,12,32,84,65,0,87,22,22,100,True,,0.0
692,31,101,0,16,24,100,60,0,69,88,100,100,True,19.0,
693,29,106,0,25,38,82,0,23,66,100,24,100,True,63.0,
694,33,101,1,12,30,80,83,20,58,84,82,83,True,,82.0
695,21,91,0,12,12,100,35,0,74,85,23,100,True,100.0,
696,25,80,0,24,24,59,89,0,100,100,66,98,True,70.0,
697,55,81,1,0,42,98,0,0,26,100,98,98,True,,100.0
698,25,79,0,6,15,100,100,24,6,76,100,100,True,0.0,
699,26,85,0,14,15,100,0,0,49,49,21,100,True,78.0,
700,38,100,0,12,4,100,0,0,74,100,66,100,True,0.0,
701,30,85,0,10,42,88,20,60,19,62,63,100,True,17.0,
702,43,130,1,14,37,99,100,7,100,74,0,97,True,,21.0
703,24,90,0,14,42,100,0,0,75,100,26,100,True,87.0,
704,29,120,0,25,25,100,82,23,100,97,76,100,True,100.0,
705,29,81,0,14,14,97,75,0,0,0,100,99,True,0.0,
706,39,130,0,12,42,100,0,71,74,100,27,99,True,100.0,
707,37,86,0,18,42,78,0,0,17,100,91,100,True,0.0,
708,27,45,0,12,42,100,0,0,14,62,8,100,True,0.0,
709,32,90,0,16,28,88,0,1,80,81,0,80,True,73.0,
710,27,75,0,20,42,100,0,69,0,77,0,100,True,7.0,
711,49,65,0,24,42,92,1,1,54,92,31,100,True,6.0,
712,24,87,0,16,40,82,0,0,0,34,0,100,True,100.0,
713,21,130,0,12,25,87,81,86,15,88,64,100,True,73.0,
714,21,85,0,14,28,100,100,17,72,100,63,72,True,66.0,
715,27,75,0,12,42,100,14,0,85,100,59,100,True,0.0,
716,26,95,0,19,19,100,64,18,71,97,62,100,True,0.0,
717,26,95,0,14,23,100,18,0,68,100,59,100,True,65.0,
718,34,114,0,10,12,100,100,100,64,100,0,100,True,100.0,
719,42,70,0,12,42,74,0,2,0,100,0,100,True,0.0,
720,28,95,0,42,42,100,100,80,18,100,88,89,True,88.0,
721,25,70,0,42,0,88,22,38,94,28,0,100,True,29.0,
722,24,75,1,10,30,63,0,0,70,100,100,100,True,,62.0
723,25,101,0,10,40,100,100,100,14,100,91,100,True,100.0,
724,31,88,0,16,28,94,85,100,12,12,24,100,True,24.0,
725,36,95,0,13,42,100,0,0,17,86,0,100,True,98.0,
726,26,80,0,16,24,100,77,88,5,100,76,100,True,35.0,
727,25,130,0,0,0,100,100,100,60,60,0,100,True,100.0,
728,31,90,1,16,24,100,60,0,82,91,18,100,True,,75.0
729,22,101,0,17,20,100,21,22,78,79,100,85,True,69.0,
730,34,90,0,42,0,69,22,1,17,57,83,100,True,79.0,
731,30,71,0,18,28,70,0,3,98,81,45,98,True,19.0,
732,33,94,0,35,36,100,0,43,25,68,0,100,True,29.0,
733,32,130,0,42,42,100,100,0,100,67,0,100,True,100.0,
734,32,94,0,13,24,100,0,0,30,54,73,100,True,68.0,
735,23,85,0,25,0,100,20,0,82,100,59,100,True,57.0,
736,29,80,0,15,41,100,14,30,52,30,10,91,True,58.0,
737,32,110,0,14,42,100,65,0,89,100,27,100,True,75.0,
738,25,90,0,0,0,100,0,0,100,100,100,46,True,75.0,
739,53,80,1,13,38,100,0,30,77,91,0,100,True,,36.0
740,30,103,1,4,0,100,0,0,22,20,0,100,True,,0.0
741,41,88,1,14,24,100,69,0,25,72,78,100,True,,100.0
742,29,80,0,14,32,100,83,100,0,93,91,100,True,23.0,
743,21,74,0,16,16,99,23,20,70,100,22,100,True,60.0,
744,34,76,0,27,41,100,7,7,69,91,66,86,True,73.0,
745,21,85,0,13,16,97,74,0,25,100,72,100,True,49.0,
746,27,24,0,7,2,100,15,77,17,99,62,98,True,0.0,
747,23,60,0,24,42,100,0,3,64,100,8,100,True,28.0,
748,52,97,1,7,12,100,84,0,8,8,87,89,True,,50.0
749,23,54,0,36,42,96,5,61,26,44,50,100,True,0.0,
750,31,85,0,15,27,100,49,0,51,66,51,100,True,0.0,
751,21,40,0,14,42,100,0,100,0,68,100,100,True,0.0,
752,27,110,0,14,42,100,0,0,87,68,52,100,True,92.0,
753,31,94,0,21,42,81,100,80,100,100,45,100,True,51.0,
754,36,90,1,9,9,100,21,23,73,88,48,100,True,,100.0
755,24,69,0,32,4,49,0,56,42,44,6,100,True,22.0,
756,25,85,0,16,30,64,0,0,79,100,0,100,True,50.0,
757,28,100,0,12,42,100,100,0,24,59,20,100,True,50.0,
758,29,75,0,42,42,100,37,0,71,87,24,100,True,19.0,
759,28,95,0,6,4,96,100,10,86,100,45,83,True,83.0,
760,29,130,0,20,20,100,82,56,100,100,0,100,True,28.0,
761,33,87,1,12,1,100,0,0,31,100,59,100,True,,100.0
762,37,116,0,4,42,29,87,89,15,83,83,100,True,74.0,
763,26,68,0,28,12,95,0,0,64,85,61,100,True,74.0,
764,25,90,0,14,0,80,21,77,100,100,75,100,True,59.0,
765,36,130,0,12,42,100,14,14,79,71,11,100,True,21.0,
766,36,130,0,14,42,100,0,0,100,100,18,100,True,14.0,
767,26,75,0,0,0,100,0,0,0,51,100,100,True,92.0,
768,29,79,0,30,42,80,69,0,26,85,16,100,True,49.0,
769,39,90,0,16,0,100,0,1,0,66,52,100,True,21.0,
770,33,90,0,30,0,100,0,0,83,100,10,100,True,23.0,
771,30,84,0,26,42,67,0,0,50,76,24,100,True,9.0,
772,19,88,0,14,36,100,68,0,35,78,17,100,True,66.0,
773,38,130,1,12,38,100,46,65,100,100,27,100,True,,97.0
774,22,130,0,21,8,76,47,83,80,100,22,100,True,100.0,
775,21,97,0,8,8,100,75,0,0,100,78,100,True,100.0,
776,26,75,0,42,42,100,0,0,41,78,0,100,True,63.0,
777,36,107,0,21,39,96,0,0,0,44,0,100,True,71.0,
778,38,90,0,14,31,100,48,48,50,53,0,100,True,99.0,
779,40,90,0,30,42,100,15,89,100,100,33,100,True,0.0,
780,19,75,0,12,39,100,82,69,80,99,16,100,True,58.0,
781,24,84,0,8,38,100,34,0,83,100,22,80,True,63.0,
782,25,77,0,23,42,68,0,0,23,54,63,100,True,64.0,
783,24,85,0,42,42,82,0,42,17,80,100,100,True,20.0,
784,27,60,0,18,42,81,32,0,20,74,19,100,True,100.0,
785,27,80,0,42,42,100,0,0,68,74,72,100,True,0.0,
786,51,90,1,0,0,100,100,43,62,98,96,80,True,,100.0
787,44,85,1,14,42,57,2,0,49,100,0,100,True,,98.0
788,24,70,0,42,42,100,0,0,0,0,0,100,True,0.0,
789,30,70,0,14,40,72,0,100,0,100,0,100,True,0.0,
790,32,80,0,14,9,100,1,65,64,100,51,100,True,84.0,
791,34,75,1,30,30,46,76,100,73,100,22,100,True,,60.0
792,30,103,0,14,42,100,36,2,100,66,55,98,True,100.0,
793,35,108,0,3,19,100,0,0,14,27,100,100,True,51.0,
794,53,80,1,14,42,100,0,0,0,79,0,100,True,,100.0
795,30,85,0,42,42,29,0,0,70,100,80,100,True,19.0,
796,37,97,1,12,16,100,71,0,72,77,100,100,True,,60.0
797,24,130,0,12,22,100,0,62,100,100,0,100,True,100.0,
798,28,76,0,9,9,100,0,0,69,100,0,100,True,100.0,
799,33,58,0,12,24,72,88,59,14,15,64,82,True,6.0,
800,33,100,0,14,41,79,86,60,100,100,18,100,True,65.0,
801,29,130,0,15,16,54,100,55,100,100,100,100,True,0.0,
802,39,98,1,12,16,100,100,26,100,100,0,100,True,,100.0
803,28,85,0,12,41,97,0,0,58,100,37,93,True,79.0,
804,24,70,0,20,30,64,49,0,17,50,72,72,True,64.0,
805,18,45,0,8,32,82,100,0,24,73,100,100,True,27.0,
806,23,121,0,18,16,100,100,100,27,62,22,100,True,28.0,
807,28,85,0,20,42,100,0,0,36,100,50,100,True,22.0,
808,40,95,1,16,0,89,13,18,70,100,100,100,True,,100.0
809,32,98,0,18,16,100,76,76,73,100,31,100,True,100.0,
810,21,90,0,16,42,83,18,17,68,83,28,82,True,75.0,
811,21,80,0,10,40,100,71,73,68,100,42,45,True,68.0,
812,27,106,0,8,8,100,100,2,80,54,100,48,True,100.0,
813,52,95,1,16,0,93,0,0,46,84,50,100,True,,100.0
814,32,92,0,18,0,100,0,0,57,77,72,100,True,78.0,
815,50,75,0,12,42,86,0,0,100,73,0,100,True,17.0,
