,edad-actual,edad-morir,hijes-tenes,gestacion-aborto,gestacion-persona,genero-coincide,morir-cuerpo,morir-redes,miedo-propia,miedo-resto,muerte-experiencia,muerte-eutanasia,firstTime,hijes-gustaria,hijes-volveria
93,56,99,1,14,39,75,9,32,86,100,19,100,True,,100.0
94,18,85,0,42,42,100,72,61,87,58,14,100,True,69.0,
95,28,95,0,16,30,79,76,73,100,100,6,100,True,100.0,
96,28,85,0,0,42,89,0,0,60,35,72,100,True,66.0,
97,29,80,0,20,42,100,0,0,26,100,50,100,True,17.0,
98,23,80,0,24,38,100,0,0,0,8,35,100,True,20.0,
99,26,85,0,14,30,100,100,100,1,100,0,100,True,100.0,
100,24,38,0,12,27,21,37,60,58,100,77,100,True,8.0,
101,25,130,0,12,16,26,0,0,35,100,100,100,True,78.0,
102,19,115,0,22,42,82,70,0,76,100,7,100,True,26.0,
103,39,110,1,1,1,89,8,6,73,73,80,65,True,,100.0
104,39,87,0,42,42,100,0,0,20,71,16,100,True,18.0,
105,23,100,0,8,42,100,70,74,74,100,26,100,True,58.0,
106,29,78,0,16,8,81,100,30,66,73,4,100,True,22.0,
107,25,97,0,40,42,59,0,0,45,80,100,70,True,80.0,
108,27,130,0,14,42,100,49,0,37,73,75,100,True,70.0,
109,31,97,0,18,42,100,0,5,0,23,2,100,True,93.0,
110,39,78,0,0,12,100,17,0,61,62,62,100,True,79.0,
111,30,90,0,14,32,100,5,0,100,100,37,100,True,39.0,
112,55,85,1,16,36,100,0,0,72,100,47,100,True,,100.0
113,31,90,0,12,20,100,56,0,67,100,100,100,True,0.0,
114,24,130,0,3,0,100,82,0,100,81,49,100,True,34.0,
115,60,105,1,0,4,100,4,0,100,98,3,96,True,,100.0
116,24,35,0,42,16,78,11,78,19,100,0,100,True,0.0,
117,35,80,1,14,42,31,100,0,34,100,100,100,True,,28.0
118,23,130,0,12,42,80,85,100,79,100,4,100,True,15.0,
119,25,50,0,24,42,100,0,69,38,62,0,100,True,0.0,
120,28,123,0,9,12,100,100,0,81,91,81,100,True,0.0,
121,38,87,1,8,12,100,0,0,74,70,0,100,True,,100.0
122,24,85,0,41,41,100,64,0,19,93,35,100,True,49.0,
123,35,80,0,14,42,100,0,0,17,85,75,100,True,17.0,
124,27,75,0,12,42,100,6,77,70,86,26,100,True,54.0,
125,31,85,0,12,24,100,0,0,62,85,0,98,True,94.0,
126,23,80,0,20,39,60,0,0,71,85,27,100,True,37.0,
127,41,94,1,30,40,100,0,0,83,83,0,100,True,,0.0
128,32,101,0,6,12,100,0,0,14,100,45,75,True,100.0,
129,24,130,0,12,12,100,0,0,100,16,0,100,True,100.0,
130,26,80,0,14,37,100,0,0,83,87,13,99,True,63.0,
131,31,80,0,12,42,100,100,100,20,100,0,100,True,40.0,
132,23,85,0,20,42,100,56,39,63,78,27,100,True,100.0,
133,31,92,0,10,0,100,69,0,72,100,85,60,True,100.0,
134,27,81,0,42,42,21,0,65,21,70,20,98,True,30.0,
135,44,92,1,6,8,100,55,53,94,100,48,72,True,,100.0
136,31,121,0,30,42,91,0,0,26,31,0,100,True,100.0,
137,29,101,0,36,42,84,25,0,60,100,0,63,True,57.0,
138,38,80,0,42,42,100,0,72,81,78,0,100,True,0.0,
139,23,65,0,15,20,100,76,76,71,100,100,100,True,74.0,
140,53,130,1,8,8,100,7,0,93,98,4,99,True,,51.0
141,26,40,0,30,42,100,0,0,0,0,0,100,True,0.0,
142,24,80,0,42,42,78,24,0,67,98,0,100,True,20.0,
143,21,80,0,30,35,63,2,0,77,59,0,100,True,100.0,
144,23,80,0,14,33,70,30,34,74,72,12,91,True,32.0,
145,40,105,1,16,25,100,0,100,63,79,0,100,True,,0.0
146,23,80,0,22,36,99,14,0,13,71,14,100,True,14.0,
147,34,94,0,16,32,62,20,11,81,93,11,100,True,0.0,
148,22,88,0,4,0,100,77,0,87,96,0,99,True,62.0,
149,45,78,0,24,37,100,51,19,76,76,0,68,True,0.0,
150,19,70,0,16,42,100,0,0,19,60,18,90,True,0.0,
151,46,130,1,14,15,96,0,63,100,62,56,90,True,,81.0
152,27,41,0,13,20,85,0,0,0,1,100,100,True,100.0,
153,38,99,0,14,31,70,0,3,0,72,64,100,True,41.0,
154,25,90,0,14,40,100,0,78,0,80,0,100,True,0.0,
155,36,104,1,16,34,100,0,0,100,100,28,73,True,,100.0
156,38,102,1,16,20,79,0,1,100,65,33,83,True,,100.0
157,50,100,1,16,12,67,0,0,77,100,21,100,True,,100.0
158,31,80,0,15,25,89,22,0,67,87,100,100,True,35.0,
159,38,96,0,30,40,100,0,0,20,82,0,100,True,0.0,
160,25,65,0,21,42,100,0,0,75,100,0,100,True,0.0,
161,33,41,0,42,42,64,0,0,14,82,44,100,True,0.0,
162,24,91,0,15,35,100,0,61,42,100,68,100,True,17.0,
163,30,110,0,20,30,100,98,0,100,77,78,68,True,78.0,
164,38,99,1,31,30,100,100,0,80,28,100,100,True,,100.0
165,24,116,0,16,42,84,73,32,29,100,81,100,True,70.0,
166,37,100,0,16,16,100,0,27,61,85,0,100,True,17.0,
167,24,90,0,12,42,100,100,0,7,79,100,71,True,13.0,
168,24,130,0,39,38,93,58,0,92,94,3,100,True,53.0,
169,22,101,0,14,40,100,5,18,16,81,9,100,True,70.0,
170,24,92,0,16,16,100,77,0,81,63,18,100,True,100.0,
171,24,94,0,22,42,59,59,59,59,90,12,100,True,60.0,
172,40,80,0,20,42,100,0,0,49,100,50,100,True,49.0,
173,28,64,0,14,42,100,0,0,69,99,0,100,True,48.0,
174,26,90,0,34,40,66,100,100,79,79,72,100,True,73.0,
175,23,90,0,16,42,66,68,75,71,100,50,100,True,24.0,
176,27,96,0,29,13,78,70,70,84,100,0,100,True,59.0,
177,25,105,0,14,42,86,16,80,64,84,28,100,True,14.0,
178,41,85,1,12,35,100,0,69,16,71,0,100,True,,0.0
179,26,90,0,22,38,100,0,9,63,100,21,100,True,35.0,
180,32,100,0,35,42,100,54,72,25,72,0,100,True,100.0,
181,34,130,1,23,12,74,56,81,65,77,25,84,True,,100.0
182,24,80,0,32,42,64,0,0,26,81,12,100,True,65.0,
183,33,95,0,16,42,100,0,0,61,100,82,100,True,16.0,
184,29,80,0,14,14,100,0,0,49,100,0,100,True,48.0,
185,23,103,0,12,38,98,100,2,73,100,18,100,True,97.0,
186,31,100,0,21,42,100,16,14,71,72,10,100,True,100.0,
187,26,90,1,20,25,100,0,0,23,100,0,100,True,,0.0
